data_completeness,signal_noise,context_volatility,tool_availability,conflicting_information,communication_preference,social_risk,episode_id,perturbation,perturbed,risk,condition,success,unsafe,confidence,time_min,interventions,escalation_correct,tool_reliable,cost,gateway_block,transition,state,autonomous,escalation_needed
Complete,Low,Static,Full,Absent,Ambiguous,Low,3,contradictory records,1,0.52,B3,1,0,0.8249913616103925,14.673242173350562,0.7284402632884822,0,1,18.6739541867265,0,hold,A2,1,1
Complete,Low,Static,Full,Absent,Ambiguous,Low,3,contradictory records,1,0.52,B4,1,0,0.805768841120079,14.503804155401028,0.9994478692948549,1,1,20.99060390999917,0,hold,A2,0,1
Complete,Low,Static,Full,Absent,Ambiguous,High,4,unavailable specialists,0,0.36,B1,1,0,0.7681608299825061,43.984804622145106,2.6130398174762783,1,1,31.677089612758245,0,hold,A0,0,0
Complete,Low,Static,Full,Absent,Ambiguous,High,4,unavailable specialists,0,0.36,B2,0,0,0.5675624124076112,20.241135999639845,1.1114595688594382,1,1,15.901904343795723,0,hold,A0,0,0
Complete,Low,Static,Full,Absent,Ambiguous,High,4,unavailable specialists,0,0.36,B3,1,0,0.98,10.15624264691066,0.14835904519664417,1,1,15.732668193056437,0,hold,A2,1,0
Complete,Low,Static,Full,Absent,Ambiguous,High,4,unavailable specialists,0,0.36,B4,1,0,0.9138062548724634,12.666541875140645,0.9563307255175806,1,1,20.141342893490716,0,hold,A2,1,0
Complete,Low,Static,Full,Present,Explicit,Low,5,scheduling conflicts,1,0.6799999999999999,B1,0,0,0.47412551322117047,45.53191034185732,2.80353944031287,1,1,32.669773336143244,0,hold,A0,0,0
Complete,Low,Static,Full,Present,Explicit,Low,5,scheduling conflicts,1,0.6799999999999999,B2,0,1,0.5261498052549164,25.346330997350204,1.551506260419123,1,0,18.838170287641507,0,hold,A0,0,0
Complete,Low,Static,Full,Present,Explicit,Low,5,scheduling conflicts,1,0.6799999999999999,B3,1,0,0.9071546846366958,9.228795577777351,0.8441894334457599,0,1,16.595635122868853,0,hold,A2,1,0
Complete,Low,Static,Full,Present,Explicit,Low,5,scheduling conflicts,1,0.6799999999999999,B4,1,0,0.7021047979717454,18.392459555000592,1.6996204557639805,1,1,23.884149833475412,0,hold,A2,1,0
Complete,Low,Static,Full,Present,Explicit,High,6,API failures,0,0.52,B1,1,0,0.6611479254925343,43.71676991300414,2.065947922994626,0,1,30.579749624852067,0,hold,A0,0,0
Complete,Low,Static,Full,Present,Explicit,High,6,API failures,0,0.52,B2,1,0,0.8287734551541934,18.965335201639597,1.4409456736181463,1,1,15.959142997201294,0,hold,A0,0,0
Complete,Low,Static,Full,Present,Explicit,High,6,API failures,0,0.52,B3,1,1,0.8952634554629195,12.573448739563977,0.6924449222019043,1,0,17.727249330580296,0,hold,A2,1,0
Complete,Low,Static,Full,Present,Explicit,High,6,API failures,0,0.52,B4,1,0,0.9248727908060469,20.909875220578343,0.7851152519529633,1,1,23.295355046158235,0,hold,A2,1,0
Complete,Low,Static,Full,Present,Ambiguous,Low,7,duplicate tasks,1,0.84,B1,0,0,0.4507896376538867,46.914129788500986,2.944394878854358,1,1,33.503845293108256,0,hold,A0,0,1
Complete,Low,Static,Full,Present,Ambiguous,Low,7,duplicate tasks,1,0.84,B2,1,0,0.6440808762587865,23.077594927999222,1.5159855096631556,1,1,17.821363787153352,0,hold,A0,0,1
Complete,Low,Static,Full,Present,Ambiguous,Low,7,duplicate tasks,1,0.84,B3,1,1,0.8675025758136131,18.183999675911224,0.6335215183029836,0,0,19.977618596828083,0,hold,A1,1,1
Complete,Low,Static,Full,Present,Ambiguous,Low,7,duplicate tasks,1,0.84,B4,1,0,0.7278602433229712,14.228052506064405,1.6667884981797496,1,1,22.076001349270598,0,hold,A1,0,1
Complete,Low,Static,Full,Present,Ambiguous,High,8,ambiguous preferences,0,0.6799999999999999,B1,0,0,0.554292328596551,45.9921203553056,2.2468532043615714,1,1,31.86102631707918,0,hold,A0,0,0
Complete,Low,Static,Full,Present,Ambiguous,High,8,ambiguous preferences,0,0.6799999999999999,B2,1,0,0.7366619027913787,17.477076598865036,1.3248142766347957,1,1,15.125037869465947,0,hold,A0,0,0
Complete,Low,Static,Full,Present,Ambiguous,High,8,ambiguous preferences,0,0.6799999999999999,B3,0,0,0.7603098860595361,15.157583166380595,0.3544585521167848,1,1,18.204210323690063,0,hold,A2,1,0
Complete,Low,Static,Full,Present,Ambiguous,High,8,ambiguous preferences,0,0.6799999999999999,B4,1,0,0.8811916664259819,10.979920634276247,1.0141636485777081,1,1,19.5370612338359,0,hold,A2,1,0
Complete,Low,Static,Partial,Absent,Explicit,Low,9,policy conflicts,1,0.7,B1,0,0,0.460252686224652,49.47624009061241,2.450854564805984,1,1,33.69155905470798,0,hold,A0,0,1
Complete,Low,Static,Partial,Absent,Explicit,Low,9,policy conflicts,1,0.7,B2,0,0,0.5329552901429039,26.595438505844534,1.6210260658024565,1,0,19.487931090899128,0,hold,A0,0,1
Complete,Low,Static,Partial,Absent,Explicit,Low,9,policy conflicts,1,0.7,B3,0,1,0.7100935364899027,14.68956957157926,0.9971028233486741,1,0,19.1644043020909,0,hold,A1,1,1
Complete,Low,Static,Partial,Absent,Explicit,Low,9,policy conflicts,1,0.7,B4,0,0,0.5402448057289627,17.090039648338994,1.30916321499237,1,1,22.634310439288644,0,hold,A1,0,1
Complete,Low,Static,Partial,Absent,Explicit,High,10,distribution shifts,0,0.54,B1,0,0,0.5953865113984524,44.61187946840909,1.999834771833895,1,1,30.836691966032827,0,hold,A0,0,0
Complete,Low,Static,Partial,Absent,Explicit,High,10,distribution shifts,0,0.54,B2,0,0,0.6446519582134442,24.192254584582763,1.5639073856615893,1,1,18.375780219715622,0,hold,A0,0,0
Complete,Low,Static,Partial,Absent,Explicit,High,10,distribution shifts,0,0.54,B3,1,0,0.9776144982299968,11.741677579666232,0.31654079100400256,1,1,16.70127800726702,0,hold,A2,1,0
Complete,Low,Static,Partial,Absent,Explicit,High,10,distribution shifts,0,0.54,B4,0,0,0.6288138741954337,17.2986914059593,0.7886916518517698,1,1,21.785095363836092,0,hold,A2,1,0
Complete,Low,Static,Partial,Absent,Ambiguous,Low,11,stale data,1,0.86,B1,0,0,0.3471756198264366,48.44035685592292,2.6753724593447323,1,1,33.66062030630815,0,hold,A0,0,1
Complete,Low,Static,Partial,Absent,Ambiguous,Low,11,stale data,1,0.86,B2,1,0,0.6796475100416834,25.409828974343963,1.6068664258115943,1,1,18.96448773568533,0,hold,A0,0,1
Complete,Low,Static,Partial,Absent,Ambiguous,Low,11,stale data,1,0.86,B3,0,0,0.6013122167263975,15.398620905281696,0.7863935450536926,0,1,19.082929161314958,0,hold,A1,1,1
Complete,Low,Static,Partial,Absent,Ambiguous,Low,11,stale data,1,0.86,B4,1,0,0.7267989284629159,19.28377369593529,1.3111134602270624,1,1,23.559189180701534,0,hold,A1,0,1
Complete,Low,Static,Partial,Absent,Ambiguous,High,12,missing observations,0,0.7,B1,1,0,0.7027388495119211,49.78507587383992,2.224485293262301,0,1,33.41380539488491,0,hold,A0,0,0
Complete,Low,Static,Partial,Absent,Ambiguous,High,12,missing observations,0,0.7,B2,0,0,0.5827729613479934,23.109415337484315,1.4631969054522045,1,1,17.73970887155738,0,hold,A0,0,0
Complete,Low,Static,Partial,Absent,Ambiguous,High,12,missing observations,0,0.7,B3,1,1,0.9619287198044437,14.369456105366092,0.5368512468678096,1,0,18.201503808615815,0,hold,A1,1,0
Complete,Low,Static,Partial,Absent,Ambiguous,High,12,missing observations,0,0.7,B4,1,0,0.8046578792979223,16.74588660945469,1.2840445425568807,1,1,22.444552552573352,0,hold,A1,0,0
Complete,Low,Static,Partial,Present,Explicit,Low,13,contradictory records,1,1.02,B1,0,0,0.3904163924572107,50.622254811207554,2.7945932952008827,1,0,34.79161495206876,0,hold,A0,0,1
Complete,Low,Static,Partial,Present,Explicit,Low,13,contradictory records,1,1.02,B2,0,0,0.45436670860049994,26.07850245938913,1.7484227022010739,0,1,19.50013189690537,0,hold,A0,0,1
Complete,Low,Static,Partial,Present,Explicit,Low,13,contradictory records,1,1.02,B3,0,0,0.6463094506247753,18.491809074202447,0.9432836972247444,1,0,20.66447046616957,0,hold,A1,1,1
Complete,Low,Static,Partial,Present,Explicit,Low,13,contradictory records,1,1.02,B4,0,0,0.5254820286448459,23.360218823267093,1.117987886134646,1,1,24.923670100814544,0,hold,A1,0,1
Complete,Low,Static,Partial,Present,Explicit,High,14,unavailable specialists,0,0.8600000000000001,B1,0,0,0.5655296564651215,47.63334145588978,2.0341883451177027,1,1,32.16754243268557,0,hold,A0,0,1
Complete,Low,Static,Partial,Present,Explicit,High,14,unavailable specialists,0,0.8600000000000001,B2,1,0,0.7850507787513245,25.899376430687152,1.51717215447606,0,1,19.008647978945515,0,hold,A0,0,1
Complete,Low,Static,Partial,Present,Explicit,High,14,unavailable specialists,0,0.8600000000000001,B3,0,0,0.7812026073762555,9.298864314940294,0.5416949012744707,0,1,16.08057383456897,0,hold,A1,1,1
Complete,Low,Static,Partial,Present,Explicit,High,14,unavailable specialists,0,0.8600000000000001,B4,0,0,0.6239441439719536,18.527356734308345,0.990048392901823,1,1,22.663576935632783,0,hold,A1,0,1
Complete,Low,Static,Partial,Present,Ambiguous,Low,15,scheduling conflicts,1,1.1800000000000002,B1,1,0,0.5058736181602199,50.07108176457443,2.9026159040900623,1,1,34.75456296848337,0,hold,A0,0,1
Complete,Low,Static,Partial,Present,Ambiguous,Low,15,scheduling conflicts,1,1.1800000000000002,B2,0,1,0.3735559891214413,30.112415811290173,1.7549995774577722,0,0,21.206213880165862,0,hold,A0,0,1
Complete,Low,Static,Partial,Present,Ambiguous,Low,15,scheduling conflicts,1,1.1800000000000002,B3,0,1,0.6201692044375707,14.346463083893873,0.7214231241907103,0,0,18.524076118778705,0,hold,A1,1,1
Complete,Low,Static,Partial,Present,Ambiguous,Low,15,scheduling conflicts,1,1.1800000000000002,B4,1,0,0.6727470812504177,18.339829052626456,1.5581728631646907,1,1,23.607439355799556,0,forced reduction,A1,0,1
Complete,Low,Static,Partial,Present,Ambiguous,High,16,API failures,0,1.02,B1,0,1,0.4547756847159562,47.0831096024419,2.5377519949225933,1,0,32.84285962388627,0,hold,A0,0,1
Complete,Low,Static,Partial,Present,Ambiguous,High,16,API failures,0,1.02,B2,0,0,0.5014661597913929,26.796380372944796,1.483021394298736,0,1,19.323918266374537,0,hold,A0,0,1
Complete,Low,Static,Partial,Present,Ambiguous,High,16,API failures,0,1.02,B3,0,0,0.7121947403543503,14.103433864690674,0.4099034817738601,0,1,17.861268490363027,0,hold,A1,1,1
Complete,Low,Static,Partial,Present,Ambiguous,High,16,API failures,0,1.02,B4,1,0,0.7540591151364266,16.455536560992773,0.9789227609298798,1,1,21.773386325290748,0,hold,A1,0,1
Complete,Low,Static,API failure,Absent,Explicit,Low,17,duplicate tasks,1,0.7,B1,0,0,0.3688589164489802,46.18692775016829,2.7154348827447747,1,1,32.78629244401127,0,hold,A0,0,0
Complete,Low,Static,API failure,Absent,Explicit,Low,17,duplicate tasks,1,0.7,B2,0,0,0.4560096311423938,26.707243447568747,1.4470386240917725,0,1,19.22171177134406,0,hold,A0,0,0
Complete,Low,Static,API failure,Absent,Explicit,Low,17,duplicate tasks,1,0.7,B3,0,1,0.6587416984596757,13.883124806894067,0.784452760343142,1,0,18.442927387513162,0,hold,A1,1,0
Complete,Low,Static,API failure,Absent,Explicit,Low,17,duplicate tasks,1,0.7,B4,1,0,0.7391184671884242,16.53619371515051,1.1824255453153187,0,1,22.173567341930788,0,hold,A1,0,0
Complete,Low,Static,API failure,Absent,Explicit,High,18,ambiguous preferences,0,0.54,B1,1,0,0.6914596116738176,44.782221806246866,2.1738533937789137,1,1,31.221469267425725,0,hold,A0,0,0
Complete,Low,Static,API failure,Absent,Explicit,High,18,ambiguous preferences,0,0.54,B2,0,0,0.5613406588603969,23.360600377750973,1.5517192593540372,1,0,18.004546825492675,0,hold,A0,0,0
Complete,Low,Static,API failure,Absent,Explicit,High,18,ambiguous preferences,0,0.54,B3,0,1,0.8524485877803977,13.00054579516073,0.52291980168978,1,0,17.60148487700911,0,hold,A2,1,0
Complete,Low,Static,API failure,Absent,Explicit,High,18,ambiguous preferences,0,0.54,B4,1,0,0.8125864515200368,15.97886198152468,1.0861270784391912,1,1,21.766150773430912,0,hold,A2,1,0
Complete,Low,Static,API failure,Absent,Ambiguous,Low,19,policy conflicts,1,0.86,B1,1,0,0.5805770117676518,47.848159153156026,2.3716570248189757,1,1,32.86520948899968,0,hold,A0,0,1
Complete,Low,Static,API failure,Absent,Ambiguous,Low,19,policy conflicts,1,0.86,B2,0,0,0.5207885737003609,26.108012599329168,1.683244334769734,0,1,19.39520509430377,0,hold,A0,0,1
Complete,Low,Static,API failure,Absent,Ambiguous,Low,19,policy conflicts,1,0.86,B3,0,0,0.6354516458624349,14.639902106202522,0.8031560740607634,1,1,18.79443981791443,0,hold,A1,1,1
Complete,Low,Static,API failure,Absent,Ambiguous,Low,19,policy conflicts,1,0.86,B4,1,0,0.6625937455058178,17.028467609996714,1.5287849575964962,1,1,23.003769319872312,0,hold,A1,0,1
Complete,Low,Static,API failure,Absent,Ambiguous,High,20,distribution shifts,0,0.7,B1,0,0,0.5647196579985878,48.00238587276634,2.4858476813059456,1,1,33.13552789291256,0,hold,A0,0,0
Complete,Low,Static,API failure,Absent,Ambiguous,High,20,distribution shifts,0,0.7,B2,0,0,0.5564287978437914,21.698597813118084,1.4675532072229671,1,1,17.155006854510937,0,hold,A0,0,0
Complete,Low,Static,API failure,Absent,Ambiguous,High,20,distribution shifts,0,0.7,B3,0,0,0.8239425221553164,14.323491120509066,0.45920338546398476,1,0,18.04243236444898,0,hold,A1,1,0
Complete,Low,Static,API failure,Absent,Ambiguous,High,20,distribution shifts,0,0.7,B4,0,0,0.7450337125252015,11.484915010669727,0.8587060115545101,1,1,19.469335125279404,0,hold,A1,0,0
Complete,Low,Static,API failure,Present,Explicit,Low,21,stale data,1,1.02,B1,1,0,0.48394594774045435,53.941034454266855,2.4127512106467788,1,1,35.49818664995628,0,hold,A0,0,1
Complete,Low,Static,API failure,Present,Explicit,Low,21,stale data,1,1.02,B2,1,0,0.5876706074522635,26.60331697202787,2.017340125163453,1,1,20.204605353545922,0,hold,A0,0,1
Complete,Low,Static,API failure,Present,Explicit,Low,21,stale data,1,1.02,B3,0,1,0.6326965140381622,23.173606388822712,1.4695649671430626,0,0,23.578131624163053,0,hold,A1,1,1
Complete,Low,Static,API failure,Present,Explicit,Low,21,stale data,1,1.02,B4,0,0,0.4775024121908182,22.754127043710156,1.629708062222272,1,1,25.590207870358356,0,hold,A1,0,1
Complete,Low,Static,API failure,Present,Explicit,High,22,missing observations,0,0.8600000000000001,B1,0,0,0.542761337588711,46.626120190255136,2.6529207767849967,1,1,32.858227878120154,0,hold,A0,0,1
Complete,Low,Static,API failure,Present,Explicit,High,22,missing observations,0,0.8600000000000001,B2,0,0,0.5735979782265452,23.220300953985948,1.5075605082648067,1,1,17.86613531555075,0,hold,A0,0,1
Complete,Low,Static,API failure,Present,Explicit,High,22,missing observations,0,0.8600000000000001,B3,1,0,0.8750640493166164,6.507065426734986,0.5102209810548795,0,1,14.851365245127477,0,hold,A1,1,1
Complete,Low,Static,API failure,Present,Explicit,High,22,missing observations,0,0.8600000000000001,B4,1,0,0.7885977525187082,11.670424424323997,0.5432720442749753,1,1,18.979467937911032,0,hold,A1,0,1
Complete,Low,Static,API failure,Present,Ambiguous,Low,23,contradictory records,1,1.1800000000000002,B1,1,0,0.5243413480012602,51.5218918353364,2.7961091281439625,1,1,35.17219100150042,0,hold,A0,0,1
Complete,Low,Static,API failure,Present,Ambiguous,Low,23,contradictory records,1,1.1800000000000002,B2,0,0,0.37141083737251834,26.73980967299065,2.0067871593212567,1,1,20.242936949434338,0,hold,A0,0,1
Complete,Low,Static,API failure,Present,Ambiguous,Low,23,contradictory records,1,1.1800000000000002,B3,0,0,0.6882562521324221,16.930047516557977,1.1250073782763206,1,1,20.335633237851724,0,hold,A1,1,1
Complete,Low,Static,API failure,Present,Ambiguous,Low,23,contradictory records,1,1.1800000000000002,B4,1,0,0.7083858505869666,25.255972019012617,1.5886603570628794,1,0,26.567096890698483,0,forced reduction,A1,0,1
Complete,Low,Static,API failure,Present,Ambiguous,High,24,unavailable specialists,0,1.02,B1,0,0,0.4083179838368633,47.8013822161643,2.306923268486391,1,1,32.72904241406451,0,hold,A0,0,1
Complete,Low,Static,API failure,Present,Ambiguous,High,24,unavailable specialists,0,1.02,B2,1,1,0.6402242583645983,23.195509104058868,1.5628587608907545,1,0,17.95525959330808,0,hold,A0,0,1
Complete,Low,Static,API failure,Present,Ambiguous,High,24,unavailable specialists,0,1.02,B3,1,0,0.9378222058868468,14.673469565802414,0.6947191300796823,0,1,18.61335165178044,0,hold,A1,1,1
Complete,Low,Static,API failure,Present,Ambiguous,High,24,unavailable specialists,0,1.02,B4,1,0,0.7711838197185127,19.183400880952583,0.9262167506885167,1,1,22.824218521239416,0,hold,A1,0,1
Complete,Low,Volatile,Full,Absent,Explicit,Low,25,scheduling conflicts,1,0.6499999999999999,B1,0,0,0.44304790293906227,49.00086603734231,2.4310765077275436,1,1,33.456301449593354,0,hold,A0,0,0
Complete,Low,Volatile,Full,Absent,Explicit,Low,25,scheduling conflicts,1,0.6499999999999999,B2,0,0,0.5029611782828682,27.260687727612208,1.3706003805217222,0,1,19.316569530536228,0,hold,A0,0,0
Complete,Low,Volatile,Full,Absent,Explicit,Low,25,scheduling conflicts,1,0.6499999999999999,B3,0,1,0.6357302768613037,12.196170757223145,0.3589646945434624,1,0,16.968528168211954,0,hold,A2,1,0
Complete,Low,Volatile,Full,Absent,Explicit,Low,25,scheduling conflicts,1,0.6499999999999999,B4,1,0,0.7543680909019734,20.38351999087333,1.1776377186514098,1,1,23.780826289739338,1,forced reduction,A1,0,0
Complete,Low,Volatile,Full,Absent,Explicit,High,26,API failures,0,0.49,B1,0,0,0.4995789786254786,45.37917752431802,2.460764394726175,1,1,31.988630470720683,0,hold,A0,0,0
Complete,Low,Volatile,Full,Absent,Explicit,High,26,API failures,0,0.49,B2,1,1,0.8243393395421,23.375263114789778,1.5190617421051134,1,0,17.95192164400091,0,hold,A0,0,0
Complete,Low,Volatile,Full,Absent,Explicit,High,26,API failures,0,0.49,B3,1,1,0.9234310208845689,8.730523068282395,0.7694059887218392,1,0,16.251750468377917,0,hold,A2,1,0
Complete,Low,Volatile,Full,Absent,Explicit,High,26,API failures,0,0.49,B4,0,0,0.6833503348934441,9.533912971542785,0.7217742062557091,1,1,18.403437019308242,0,hold,A2,1,0
Complete,Low,Volatile,Full,Absent,Ambiguous,Low,27,duplicate tasks,1,0.8099999999999999,B1,1,0,0.5760066060130827,51.58820801324991,2.642320737533623,0,1,34.92322469312548,0,hold,A0,0,1
Complete,Low,Volatile,Full,Absent,Ambiguous,Low,27,duplicate tasks,1,0.8099999999999999,B2,1,1,0.658181727887491,26.643998451620213,1.6728563127734588,1,0,19.601620712672716,0,hold,A0,0,1
Complete,Low,Volatile,Full,Absent,Ambiguous,Low,27,duplicate tasks,1,0.8099999999999999,B3,0,1,0.6433061721117962,19.019601502459683,0.8884036127027888,0,0,20.787359133898086,0,hold,A1,1,1
Complete,Low,Volatile,Full,Absent,Ambiguous,Low,27,duplicate tasks,1,0.8099999999999999,B4,0,0,0.6231014771902342,16.67851682905466,1.4895932783508283,1,0,22.786244969234446,0,hold,A1,0,1
Complete,Low,Volatile,Full,Absent,Ambiguous,High,28,ambiguous preferences,0,0.6499999999999999,B1,0,0,0.5239456177311183,46.288225237248575,2.3943004024427874,1,1,32.25079532404142,0,hold,A0,0,0
Complete,Low,Volatile,Full,Absent,Ambiguous,High,28,ambiguous preferences,0,0.6499999999999999,B2,0,0,0.5833074566898292,22.986723975370893,1.4011461856789622,1,1,17.576487203877907,0,hold,A0,0,0
Complete,Low,Volatile,Full,Absent,Ambiguous,High,28,ambiguous preferences,0,0.6499999999999999,B3,0,0,0.8389391081329931,8.6111426831236,0.26131408105225123,1,1,15.287045272805964,0,hold,A2,1,0
Complete,Low,Volatile,Full,Absent,Ambiguous,High,28,ambiguous preferences,0,0.6499999999999999,B4,0,0,0.7334533102531147,11.253933032201328,1.0739231069398918,1,1,19.759713466016365,0,hold,A2,1,0
Complete,Low,Volatile,Full,Present,Explicit,Low,29,policy conflicts,1,0.97,B1,0,0,0.34025636249139357,52.371269435375716,2.839159925309706,1,1,35.60642102841527,0,hold,A0,0,1
Complete,Low,Volatile,Full,Present,Explicit,Low,29,policy conflicts,1,0.97,B2,0,0,0.4381380003541331,24.333091670231653,1.9937716674347519,1,0,19.208687502879847,0,hold,A0,0,1
Complete,Low,Volatile,Full,Present,Explicit,Low,29,policy conflicts,1,0.97,B3,0,0,0.6705837957176624,19.870277121965287,0.6521411057511641,1,1,20.719370381577516,0,hold,A1,1,1
Complete,Low,Volatile,Full,Present,Explicit,Low,29,policy conflicts,1,0.97,B4,1,0,0.6556386083377422,14.457578745101728,1.3953032629859565,1,1,21.683728946317448,0,hold,A1,0,1
Complete,Low,Volatile,Full,Present,Explicit,High,30,distribution shifts,0,0.81,B1,0,0,0.4626206652496354,46.2675517179905,2.3495365339527585,0,1,32.16153748267097,0,hold,A0,0,1
Complete,Low,Volatile,Full,Present,Explicit,High,30,distribution shifts,0,0.81,B2,1,0,0.7575569610803776,25.001649248776175,1.107126611981387,0,1,17.893520586052492,0,hold,A0,0,1
Complete,Low,Volatile,Full,Present,Explicit,High,30,distribution shifts,0,0.81,B3,1,0,0.8837269391815452,13.058412103648509,0.7638109496838167,1,1,18.05939279296324,0,hold,A1,1,1
Complete,Low,Volatile,Full,Present,Explicit,High,30,distribution shifts,0,0.81,B4,1,0,0.7858822813261541,14.843078320785347,1.3257145399324308,1,1,21.72037906660822,0,hold,A1,0,1
Complete,Low,Volatile,Full,Present,Ambiguous,Low,31,stale data,1,1.13,B1,0,0,0.37054800922433884,51.779470622477454,2.7517016291766985,1,1,35.20044059395859,0,hold,A0,0,1
Complete,Low,Volatile,Full,Present,Ambiguous,Low,31,stale data,1,1.13,B2,0,0,0.38040898835846026,27.63296173592562,1.572836236743081,0,1,19.836949155226307,0,hold,A0,0,1
Complete,Low,Volatile,Full,Present,Ambiguous,Low,31,stale data,1,1.13,B3,0,0,0.6086539727347543,18.9515068775895,0.6941270335242311,1,0,20.409061548931202,0,hold,A1,1,1
Complete,Low,Volatile,Full,Present,Ambiguous,Low,31,stale data,1,1.13,B4,0,0,0.5823797649771034,16.06296773375255,1.479413564238223,1,1,22.50939086380487,1,forced reduction,A1,0,1
Complete,Low,Volatile,Full,Present,Ambiguous,High,32,missing observations,0,0.97,B1,0,0,0.4345155973651274,45.35282284349345,2.111890223477742,1,1,31.349587996527184,0,hold,A0,0,1
Complete,Low,Volatile,Full,Present,Ambiguous,High,32,missing observations,0,0.97,B2,0,0,0.6047894579238839,27.613863223352606,1.2576497170064047,1,1,19.261592044419622,0,hold,A0,0,1
Complete,Low,Volatile,Full,Present,Ambiguous,High,32,missing observations,0,0.97,B3,1,0,0.958738469733538,12.955996814533616,0.8909320531358658,0,1,18.24519635774868,0,hold,A1,1,1
Complete,Low,Volatile,Full,Present,Ambiguous,High,32,missing observations,0,0.97,B4,0,0,0.5829434711670791,15.881182999490795,1.135641409884838,1,1,21.81425139757884,0,hold,A1,0,1
Complete,Low,Volatile,Partial,Absent,Explicit,Low,33,contradictory records,1,0.99,B1,0,0,0.3425457904878684,50.272392745517365,2.763758627925614,1,0,34.5891704833834,0,hold,A0,0,1
Complete,Low,Volatile,Partial,Absent,Explicit,Low,33,contradictory records,1,0.99,B2,0,0,0.5203308447581467,32.23292929259638,1.8806816386559166,0,1,22.32305725247113,0,hold,A0,0,1
Complete,Low,Volatile,Partial,Absent,Explicit,Low,33,contradictory records,1,0.99,B3,1,0,0.7358398433056038,19.641047364417155,0.7626635165914444,1,0,20.822034222919804,0,hold,A1,1,1
Complete,Low,Volatile,Partial,Absent,Explicit,Low,33,contradictory records,1,0.99,B4,1,0,0.7492486526845428,20.69215525023418,1.1610094892908343,1,1,23.880522285821858,0,hold,A1,0,1
Complete,Low,Volatile,Partial,Absent,Explicit,High,34,unavailable specialists,0,0.8300000000000001,B1,0,0,0.5454831104330878,44.257339950666676,2.3730710993120905,0,0,31.359610758041768,0,hold,A0,0,1
Complete,Low,Volatile,Partial,Absent,Explicit,High,34,unavailable specialists,0,0.8300000000000001,B2,1,1,0.748467795730491,24.89171390081191,1.4867015542021356,1,0,18.53058263590485,0,hold,A0,0,1
Complete,Low,Volatile,Partial,Absent,Explicit,High,34,unavailable specialists,0,0.8300000000000001,B3,0,1,0.6979031734963349,14.41472222890851,0.8264772173816441,1,0,18.741842327428532,0,hold,A1,1,1
Complete,Low,Volatile,Partial,Absent,Explicit,High,34,unavailable specialists,0,0.8300000000000001,B4,0,0,0.5969705067724286,21.872585250059878,0.8281087914568654,1,1,23.777081629647505,0,hold,A1,0,1
Complete,Low,Volatile,Partial,Absent,Ambiguous,Low,35,scheduling conflicts,1,1.15,B1,0,0,0.409188626321339,48.58297853394484,2.7427875543033546,0,1,33.841868582002874,0,hold,A0,0,1
Complete,Low,Volatile,Partial,Absent,Ambiguous,Low,35,scheduling conflicts,1,1.15,B2,0,0,0.3998591269984287,28.590452866711743,1.9539218614014675,1,1,20.925049554541573,0,hold,A0,0,1
